date,close,dividend amount
2018-11-12,331.28,0.0
2018-11-13,338.73,0.0
2018-11-14,344.0,0.0
2018-11-15,348.44,0.0
2018-11-16,354.31,0.0
2018-11-19,353.47,0.0
2018-11-20,347.49,0.0
2018-11-21,338.19,0.0
2018-11-23,325.83,0.0
2018-11-26,346.0,0.0
2018-11-27,343.92,0.0
2018-11-28,347.87,0.0
2018-11-29,341.17,0.0
2018-11-30,350.48,0.0
2018-12-03,358.49,0.0
2018-12-04,359.7,0.0
2018-12-06,363.06,0.0
2018-12-07,357.965,0.0
2018-12-10,365.15,0.0
2018-12-11,366.76,0.0
2018-12-12,366.6,0.0
2018-12-13,376.79,0.0
2018-12-14,365.71,0.0
2018-12-17,348.42,0.0
2018-12-18,337.03,0.0
2018-12-19,332.97,0.0
2018-12-20,315.38,0.0
2018-12-21,319.77,0.0
2018-12-24,295.39,0.0
2018-12-26,326.09,0.0
2018-12-27,316.13,0.0
2018-12-28,333.87,0.0
2018-12-31,332.8,0.0
2019-01-02,310.12,0.0
2019-01-03,300.36,0.0
2019-01-04,317.69,0.0
2019-01-07,334.96,0.0
2019-01-08,335.35,0.0
2019-01-09,338.53,0.0
2019-01-10,344.97,0.0
2019-01-11,347.26,0.0
2019-01-14,334.4,0.0
2019-01-15,344.43,0.0
2019-01-16,346.05,0.0
2019-01-17,347.31,0.0
2019-01-18,302.26,0.0
2019-01-22,298.92,0.0
2019-01-23,287.59,0.0
2019-01-24,291.51,0.0
2019-01-25,297.04,0.0
2019-01-28,296.38,0.0
2019-01-29,297.46,0.0
2019-01-30,308.77,0.0
2019-01-31,307.02,0.0
2019-02-01,312.21,0.0
2019-02-04,312.89,0.0
2019-02-05,321.35,0.0
2019-02-06,317.22,0.0
2019-02-07,307.51,0.0
2019-02-08,305.8,0.0
2019-02-11,312.84,0.0
2019-02-12,311.81,0.0
2019-02-13,308.17,0.0
2019-02-14,303.77,0.0
2019-02-15,307.88,0.0
2019-02-19,305.64,0.0
2019-02-20,302.56,0.0
2019-02-21,291.23,0.0
2019-02-22,294.71,0.0
2019-02-25,298.77,0.0
2019-02-26,297.86,0.0
2019-02-27,314.74,0.0
2019-02-28,319.88,0.0
2019-03-01,294.79,0.0
2019-03-04,285.36,0.0
2019-03-05,276.54,0.0
2019-03-06,276.24,0.0
2019-03-07,276.59,0.0
2019-03-08,284.14,0.0
2019-03-11,290.92,0.0
2019-03-12,283.36,0.0
2019-03-13,288.96,0.0
2019-03-14,289.96,0.0
2019-03-15,275.43,0.0
2019-03-18,269.49,0.0
2019-03-19,267.47,0.0
2019-03-20,273.6,0.0
2019-03-21,274.02,0.0
2019-03-22,264.53,0.0
2019-03-25,260.42,0.0
2019-03-26,267.77,0.0
2019-03-27,274.83,0.0
2019-03-28,278.62,0.0
2019-03-29,279.86,0.0
2019-04-01,289.18,0.0
2019-04-02,285.88,0.0
2019-04-03,291.81,0.0
2019-04-04,267.78,0.0
2019-04-05,274.96,0.0
2019-04-08,273.2,0.0
2019-04-09,272.31,0.0
2019-04-10,276.06,0.0
2019-04-11,268.42,0.0
2019-04-12,267.7,0.0
2019-04-15,266.38,0.0
2019-04-16,273.36,0.0
2019-04-17,271.23,0.0
2019-04-18,273.26,0.0
2019-04-22,262.75,0.0
2019-04-23,263.9,0.0
2019-04-24,258.66,0.0
2019-04-25,247.63,0.0
2019-04-26,235.14,0.0
2019-04-29,241.47,0.0
2019-04-30,238.69,0.0
2019-05-01,234.01,0.0
2019-05-02,244.1,0.0
2019-05-03,255.03,0.0
2019-05-06,255.34,0.0
2019-05-07,247.06,0.0
2019-05-08,244.84,0.0
2019-05-09,241.98,0.0
2019-05-10,239.52,0.0
2019-05-13,227.01,0.0
2019-05-14,232.31,0.0
2019-05-15,231.95,0.0
2019-05-16,228.33,0.0
2019-05-17,211.03,0.0
2019-05-20,205.36,0.0
2019-05-21,205.08,0.0
2019-05-22,192.73,0.0
2019-05-23,195.49,0.0
2019-05-24,190.63,0.0
2019-05-28,188.7,0.0
2019-05-29,189.86,0.0
2019-05-30,188.22,0.0
2019-05-31,185.16,0.0
2019-06-03,178.97,0.0
2019-06-04,193.6,0.0
2019-06-05,196.59,0.0
2019-06-06,205.95,0.0
2019-06-07,204.5,0.0
2019-06-10,212.88,0.0
2019-06-11,217.1,0.0
2019-06-12,209.26,0.0
2019-06-13,213.91,0.0
2019-06-14,214.92,0.0
2019-06-17,225.03,0.0
2019-06-18,224.74,0.0
2019-06-19,226.43,0.0
2019-06-20,219.62,0.0
2019-06-21,221.86,0.0
2019-06-24,223.64,0.0
2019-06-25,219.76,0.0
2019-06-26,219.27,0.0
2019-06-27,222.84,0.0
2019-06-28,223.46,0.0
2019-07-01,227.17,0.0
2019-07-02,224.55,0.0
2019-07-03,234.9,0.0
2019-07-05,233.1,0.0
2019-07-08,230.34,0.0
2019-07-09,230.06,0.0
2019-07-10,238.92,0.0
2019-07-11,238.6,0.0
2019-07-12,245.08,0.0
2019-07-15,253.5,0.0
2019-07-16,252.38,0.0
2019-07-17,254.86,0.0
2019-07-18,253.54,0.0
2019-07-19,258.18,0.0
2019-07-22,255.68,0.0
2019-07-23,260.17,0.0
2019-07-24,264.88,0.0
2019-07-25,228.82,0.0
2019-07-26,228.04,0.0
2019-07-29,235.77,0.0
2019-07-30,242.26,0.0
2019-07-31,241.61,0.0
2019-08-01,233.85,0.0
2019-08-02,234.34,0.0
2019-08-05,228.32,0.0
2019-08-06,230.75,0.0
2019-08-07,233.42,0.0
2019-08-08,238.3,0.0
2019-08-09,235.01,0.0
2019-08-12,229.01,0.0
2019-08-13,235.0,0.0
2019-08-14,219.62,0.0
2019-08-15,215.64,0.0
2019-08-16,219.94,0.0
2019-08-19,226.83,0.0
2019-08-20,225.86,0.0
2019-08-21,220.83,0.0
2019-08-22,222.15,0.0
2019-08-23,211.4,0.0
2019-08-26,215.0,0.0
2019-08-27,214.08,0.0
2019-08-28,215.59,0.0
2019-08-29,221.71,0.0
2019-08-30,225.61,0.0
2019-09-03,225.01,0.0
2019-09-04,220.68,0.0
2019-09-05,229.58,0.0
2019-09-06,227.45,0.0
2019-09-09,231.79,0.0
2019-09-10,235.54,0.0
2019-09-11,247.1,0.0
2019-09-12,245.87,0.0
2019-09-13,245.2,0.0
2019-09-16,242.81,0.0
2019-09-17,244.79,0.0
2019-09-18,243.49,0.0
2019-09-19,246.6,0.0
2019-09-20,240.62,0.0
2019-09-23,241.23,0.0
2019-09-24,223.21,0.0
2019-09-25,228.7,0.0
2019-09-26,242.56,0.0
2019-09-27,242.13,0.0
2019-09-30,240.87,0.0
2019-10-01,244.69,0.0
2019-10-02,243.13,0.0
2019-10-03,233.03,0.0
2019-10-04,231.43,0.0
2019-10-07,237.72,0.0
2019-10-08,240.05,0.0
2019-10-09,244.53,0.0
2019-10-10,244.74,0.0
2019-10-11,247.89,0.0
2019-10-14,256.96,0.0
2019-10-15,257.89,0.0
2019-10-16,259.75,0.0
2019-10-17,261.97,0.0
2019-10-18,256.95,0.0
2019-10-21,253.5,0.0
2019-10-22,255.58,0.0
2019-10-23,254.68,0.0
2019-10-24,299.68,0.0
2019-10-25,328.13,0.0
2019-10-28,327.71,0.0
2019-10-29,316.22,0.0
2019-10-30,315.01,0.0
2019-10-31,314.92,0.0
2019-11-01,313.31,0.0
2019-11-04,317.47,0.0
2019-11-05,317.22,0.0
2019-11-06,326.58,0.0
2019-11-07,335.54,0.0
2019-11-08,337.14,0.0
2019-11-11,345.09,0.0
2019-11-12,349.93,0.0
2019-11-13,346.11,0.0
2019-11-14,349.35,0.0
2019-11-15,352.17,0.0
2019-11-18,349.99,0.0
2019-11-19,359.52,0.0
2019-11-20,352.22,0.0
2019-11-21,354.83,0.0
2019-11-22,333.04,0.0
2019-11-25,336.34,0.0
2019-11-26,328.92,0.0
2019-11-27,331.29,0.0
2019-11-29,329.94,0.0
2019-12-02,334.87,0.0
